Feature,Importance
Throttle_153,0.02
Throttle_9,0.02
Throttle_165,0.015
Throttle_259,0.015
Throttle_17,0.015
Brake_81,0.015
Throttle_38,0.015
Throttle_231,0.015
Throttle_221,0.015
Throttle_292,0.015
Throttle_90,0.015
Brake_69,0.015
Throttle_156,0.015
Throttle_157,0.015
Throttle_103,0.015
Throttle_91,0.01
Throttle_293,0.01
Throttle_272,0.01
Throttle_290,0.01
Throttle_288,0.01
