Feature,Importance
Throttle_265,0.03879640270612005
Throttle_236,0.029990381414278334
Speed_265,0.028981414098031164
Throttle_272,0.02639194672143251
Throttle_64,0.025093761848354195
Throttle_249,0.024043090649470907
Speed_251,0.023981231970244914
Throttle_69,0.020684873545491894
Throttle_193,0.02004456701037191
Throttle_20,0.019465986936605388
Speed_254,0.018659298298605558
Throttle_271,0.01839237992062344
Throttle_103,0.017618720981529067
Throttle_102,0.016307399838498632
Throttle_251,0.015981346454766676
Throttle_266,0.015924297330697102
Throttle_248,0.013827835776664452
Speed_252,0.013660751742092067
Throttle_104,0.011957339804005838
Throttle_185,0.011840165957217753
